spine_num,title,director,release_year
579,The Phantom Carriage,Victor Sjöström,1920
799,The Kid,Charlie Chaplin,1921
33,Nanook of the North,Robert Flaherty,1922
134,Häxan: Witchcraft Through the Ages,Benjamin Christensen,1922
662,Safety Last!,Fred Newmeyer & Sam Taylor,1923
703,The Freshman,Fred Newmeyer & Sam Taylor,1925
706,Master of the House,Carl Theodor Dreyer,1925
266,The King of Kings,Cecil B. DeMille,1927
529,Underworld,Josef von Sternberg,1927
885,The Lodger: A Story of the London Fog,Alfred Hitchcock,1927
964,The Kid Brother,Ted Wilde,1927
62,The Passion of Joan of Arc,Carl Theodor Dreyer,1928
530,The Last Command,Josef von Sternberg,1928
531,The Docks of New York,Josef von Sternberg,1928
623,Lonesome,Paul Fejos,1928
789,Speedy,Ted Wilde,1928
996,The Circus,Charlie Chaplin,1928
1033,The Cameraman,Edward Sedgwick,1928
358,Pandora's Box,Georg Wilhelm Pabst,1929
67,The Blood of a Poet,Jean Cocteau,1930
161,Under the Roofs of Paris,René Clair,1930
569,People on Sunday,Robert Siodmak & Edgar G. Ulmer,1930
907,Westfront 1918,G. W. Pabst,1930
915,King of Jazz,John Murray Anderson,1930
931,Morocco,Josef von Sternberg,1930
30,M,Fritz Lang,1931
72,Le million,René Clair,1931
160,À nous la liberté,René Clair,1931
405,The Threepenny Opera,Georg Wilhelm Pabst,1931
680,City Lights,Charlie Chaplin,1931
818,La chienne ,Jean Renoir,1931
877,Limite,Mário Peixoto,1931
882,Marius,Alexander Korda,1931
908,Kameradschaft,G. W. Pabst,1931
932,Dishonored,Josef von Sternberg,1931
46,The Most Dangerous Game,Ernest B. Schoedsack & Irving Pichel,1932
170,Trouble in Paradise,Ernst Lubitsch,1932
305,Boudu Saved from Drowning,Jean Renoir,1932
437,Vampyr,Carl Theodor Dreyer,1932
586,Island of Lost Souls,Erle C. Kenton,1932
883,Fanny,Marc Allégret,1932
933,Shanghai Express,Josef von Sternberg,1932
934,Blonde Venus,Josef von Sternberg,1932
231,The Testament of Dr. Mabuse,Fritz Lang,1933
592,Design for Living,Ernst Lubitsch,1933
1006,The Story of Temple Drake,Stephen Roberts,1933
109,The Scarlet Empress,Josef von Sternberg,1934
643,The Man Who Knew Too Much,Alfred Hitchcock,1934
736,It Happened One Night,Frank Capra,1934
1048,Dos monjes,Juan Bustillo Oro,1934
56,The 39 Steps,Alfred Hitchcock,1935
935,The Devil Is a Woman,Josef von Sternberg,1935
1040,Toni,Jean Renoir,1935
114,My Man Godfrey,Gregory La Cava,1936
172,Pépé le moko,Julien Duvivier,1936
525,The Only Son,Yasujirō Ozu,1936
543,Modern Times,Charlie Chaplin,1936
660,Things to Come,William Cameron Menzies,1936
