release_year,title,director,spine_num,tmdb_id,iffy
1921,The Kid,Charlie Chaplin,799,10098,False
1922,Nanook of the North,Robert Flaherty,33,669,False
1922,Häxan: Witchcraft Through the Ages,Benjamin Christensen,134,57283,False
1923,Safety Last!,Fred Newmeyer & Sam Taylor,662,22596,False
1925,The Freshman,Fred Newmeyer & Sam Taylor,703,42359,False
1925,Master of the House,Carl Theodor Dreyer,706,55589,False
1927,The King of Kings,Cecil B. DeMille,266,49633,False
1927,Underworld,Josef von Sternberg,529,42565,False
1927,The Lodger: A Story of the London Fog,Alfred Hitchcock,885,2760,False
1927,The Kid Brother,Ted Wilde,964,16661,False
1928,The Passion of Joan of Arc,Carl Theodor Dreyer,62,780,False
1928,The Last Command,Josef von Sternberg,530,52679,False
1928,The Docks of New York,Josef von Sternberg,531,885,False
1928,Lonesome,Paul Fejos,623,101482,True
1928,Speedy,Ted Wilde,789,22595,False
1928,The Circus,Charlie Chaplin,996,28978,True
1928,The Cameraman,Edward Sedgwick,1033,31411,False
1929,Pandora's Box,Georg Wilhelm Pabst,358,905,False
1930,The Blood of a Poet,Jean Cocteau,67,36877,False
1930,Under the Roofs of Paris,René Clair,161,54419,False
1930,People on Sunday,Robert Siodmak & Edgar G. Ulmer,569,347,False
1930,Westfront 1918,G. W. Pabst,907,80705,False
1930,King of Jazz,John Murray Anderson,915,108213,False
1930,Morocco,Josef von Sternberg,931,42641,False
1931,M,Fritz Lang,30,832,True
1931,Le million,René Clair,72,32317,False
1931,À nous la liberté,René Clair,160,31514,False
1931,The Threepenny Opera,Georg Wilhelm Pabst,405,42837,False
1931,City Lights,Charlie Chaplin,680,901,False
1931,La chienne ,Jean Renoir,818,26614,False
1931,Limite,Mário Peixoto,877,8353,True
1931,Marius,Alexander Korda,882,42818,False
1931,Kameradschaft,G. W. Pabst,908,42836,False
1931,Dishonored,Josef von Sternberg,932,73420,False
1932,The Most Dangerous Game,Ernest B. Schoedsack & Irving Pichel,46,1994,False
1932,Trouble in Paradise,Ernst Lubitsch,170,195,False
1932,Boudu Saved from Drowning,Jean Renoir,305,48365,False
1932,Vampyr,Carl Theodor Dreyer,437,779,True
1932,Vampyr,Carl Theodor Dreyer,437,717583,True
1932,Island of Lost Souls,Erle C. Kenton,586,3031,False
1932,Fanny,Marc Allégret,883,43146,False
1932,Shanghai Express,Josef von Sternberg,933,875,False
1932,Blonde Venus,Josef von Sternberg,934,34474,False
1933,The Testament of Dr. Mabuse,Fritz Lang,231,12206,False
1933,Design for Living,Ernst Lubitsch,592,77210,False
1933,The Story of Temple Drake,Stephen Roberts,1006,27986,False
1934,The Scarlet Empress,Josef von Sternberg,109,31527,False
1934,The Man Who Knew Too Much,Alfred Hitchcock,643,8208,False
1934,It Happened One Night,Frank Capra,736,3078,False
1934,Dos monjes,Juan Bustillo Oro,1048,170296,False
1935,The 39 Steps,Alfred Hitchcock,56,260,False
1935,The Devil Is a Woman,Josef von Sternberg,935,42943,False
1935,Toni,Jean Renoir,1040,51949,True
1936,My Man Godfrey,Gregory La Cava,114,13562,False
1936,The Only Son,Yasujirō Ozu,525,52047,False
1936,Modern Times,Charlie Chaplin,543,3082,False
1936,Things to Come,William Cameron Menzies,660,3596,False
1936,Redes,Emilio Gómez Muriel & Fred Zinnemann,686,195522,False
1936,César,Marcel Pagnol,884,43873,False
1936,Swing Time,George Stevens,979,20325,False
1936,Show Boat,James Whale,1021,31548,False
1937,Grand Illusion,Jean Renoir,1,777,False
1937,Make Way for Tomorrow,Leo McCarey,505,41059,False
1937,The Awful Truth,Leo McCarey,917,14675,False
1938,The Lady Vanishes,Alfred Hitchcock,3,940,False
1938,Pygmalion,Anthony Asquith & Leslie Howard,85,25016,False
1938,Alexander Nevsky,Sergei Eisenstein,87,10235,False
1938,Port of Shadows,Marcel Carné,245,46326,False
1938,La bête humaine,Jean Renoir,324,29415,False
1938,The Baker's Wife,Marcel Pagnol,986,43844,False
1938,Holiday,George Cukor,1009,16274,True
1939,The Rules of the Game,Jean Renoir,216,776,False
1939,Young Mr. Lincoln,John Ford,320,43838,False
1939,Stagecoach,John Ford,516,995,False
1939,The Mikado,Victor Schertzinger,559,68201,False
1939,The Four Feathers,Zoltan Korda,583,10568,False
1939,Only Angels Have Wings,Howard Hawks,806,43832,False
1939,The Story of the Last Chrysanthemum,Kenji Mizoguchi,832,46069,False
1939,Destry Rides Again,George Marshall,1024,43828,False
1940,The Bank Dick,Edward Cline,78,911,False
1940,Rebecca,Alfred Hitchcock,135,223,False
1940,The Thief of Bagdad,Ludwig Berger & Michael Powell & Tim Whelan,431,12232,False
1940,Night Train to Munich,Carol Reed,523,41597,False
