release_year,title,director,spine_num,tmdb_id
1920,The Phantom Carriage,Victor Sjöström,579,None
1936,Pépé le moko,Julien Duvivier,172,None
1936,A Day in the Country,Jean Renoir,746,None
1942,Sullivan's Travels,Preston Sturges,118,None
1949,Orpheus,Jean Cocteau,68,None
1950,La ronde,Max Ophüls,443,None
1951,Forbidden Games,René Clément,318,None
1952,Othello,Orson Welles,870,None
1955,Night and Fog,Alain Resnais,197,None
1955,French Cancan,Jean Renoir,243,None
1955,The Complete Mr. Arkadin,Orson Welles,322,None
1957,Elevator to the Gallows,Louis Malle,335,None
1959,Testament of Orpheus,Jean Cocteau,69,None
1959,Corridors of Blood,Robert Day,368,None
1959,The Human Condition,Masaki Kobayashi,480,None
1959,Letter Never Sent,Mikhail Kalatozov,601,None
1960,Le trou,Jacques Becker,129,None
1961,Il posto,Ermanno Olmi,194,None
1961,Salvatore Giuliano,Francesco Rosi,228,None
1961,Fists in the Pocket,Marco Bellocchio,333,None
1961,La notte,Michelangelo Antonioni,678,None
1962,I fidanzati,Ermanno Olmi,195,None
1962,Winter Light,Ingmar Bergman,210,None
1962,Ingmar Bergman Makes a Movie,Vilgot Sjöman,212,None
1962,Pigs and Battleships,Shohei Imamura,472,None
1964,The Woman in the Dunes,Hiroshi Teshigahara,394,None
1964,Dry Summer,Metin Erksan,688,None
1966,Le deuxième souffle,Jean-Pierre Melville,448,None
1966,Chimes at Midnight,Orson Welles,830,None
1967,Monterey Pop,D. A. Pennebaker,168,None
1967,I Am Curious (Blue),Vilgot Sjöman,181,None
1967,La collectionneuse,Éric Rohmer,346,None
1968,Salesman,David Maysles & Albert Maysles & Charlotte Zwerin,122,None
1968,Symbiopsychotaxiplasm: Two Takes,William Greaves,360,None
1968,If....,Lindsay Anderson,391,None
1971,The Merchant of Four Seasons,Rainer Werner Fassbinder,758,None
1973,Scenes from a Marriage,Ingmar Bergman,229,None
1974,General Idi Amin Dada: A Self Portrait,Barbet Schroeder,153,None
1978,The Marriage of Maria Braun,Rainer Werner Fassbinder,204,None
1981,Blind Chance,Krzysztof Kieślowski,772,None
1982,The Making of Fanny and Alexander,Ingmar Bergman,264,None
1985,Mala Noche,Gus Van Sant,407,None
1986,Withnail and I,Bruce Robinson,119,None
1986,Jimi Plays Monterey & Shake! Otis at Monterey,D. A. Pennebaker,169,None
1988,How to Get Ahead in Advertising,Bruce Robinson,120,None
1988,Tanner '88,Robert Altman,258,None
1988,Dekalog,Krzysztof Kieślowski,837,None
1990,3 Films by Louis Malle,Louis Malle,327,None
1992,Fishing with John,John Lurie,42,None
1994,Clean@ Shaven,Lodge Kerrigan,354,None
2001,Y tu mamá también,Alfonso Cuarón,723,None
2008,Che,Steven Soderbergh,496,None
